file	ver	kind	x	y	build	death	gend	onset	nbelt	eaten	fwd	d2bc	d2opp
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_3.replay26	47	gunner	15	4	88		195		0	0	False	340	8
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_4.replay26	47	gunner	9	7	8	19	114	13	14	0	True	18	34
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_4.replay26	47	gunner	5	11	9		114	17	3	1	False	50	2
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_4.replay26	47	gunner	8	7	10	18	114	10	12	0	True	13	29
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_4.replay26	47	gunner	1	9	38		114	38	4	1	False	50	34
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_4.replay26	47	gunner	6	10	41	47	114	41	4	0	False	36	4
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_4.replay26	47	gunner	5	9	73		114	73	8	1	False	26	10
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_4.replay26	47	gunner	2	1	86		114		0	0	True	25	137
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_4.replay26	47	gunner	4	0	89		114	89	3	0	True	20	148
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_4.replay26	47	gunner	7	0	101		114	101	8	1	True	17	145
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_4.replay26	47	gunner	8	0	113		114	113	9	0	True	20	148
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_5.replay26	47	gunner	4	0	33	41	122	33	9	0	True	85	225
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_5.replay26	47	gunner	4	1	43	60	122	43	13	2	True	68	208
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_5.replay26	47	gunner	8	4	51		122	51	2	0	True	61	89
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_5.replay26	47	gunner	6	2	61	67	122	61	7	0	True	65	149
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_5.replay26	47	gunner	6	2	76	82	122	76	7	0	True	65	149
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_5.replay26	47	gunner	6	2	92	115	122	92	7	0	True	65	149
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_5.replay26	47	gunner	5	0	68	74	122	68	2	0	True	90	202
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_5.replay26	47	gunner	5	0	84	88	122	84	2	0	True	90	202
5cd4c7d4-4331-4890-a9db-da5b1c838b7f_game_5.replay26	47	gunner	1	4	81		122	81	17	9	True	26	250
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_1.replay26	47	gunner	15	25	22	32	57	22	4	0	True	2	530
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_1.replay26	47	gunner	16	25	24	34	57	24	4	0	True	5	533
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_1.replay26	47	gunner	16	26	28	41	57	28	3	0	True	4	580
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_1.replay26	47	gunner	16	27	30	37	57	30	2	0	True	5	629
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_1.replay26	47	gunner	16	28	32		57	32	1	0	True	8	680
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_1.replay26	47	gunner	15	28	36	45	57	36	1	0	True	5	677
64e54f53-e7e4-4f2b-9434-91719004aa8b_game_1.replay26	47	gunner	14	28	38		57	38	1	0	True	4	676
