match	game	opp	map	w	h	rounds	rnd	victim	victim_team	thrower_team	amb	ours_threw	enemy_victim	border	d2_launch	launcher_margin	removed_rnd	gap	undamaged_removal	within3
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	505	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	511	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	517	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	523	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	529	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	535	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	541	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	547	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	549	10	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	553	15	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	555	10	0	1	one	0	0	0	25	4	-1	-1	0	0
9773d306-f8ca-462c-aa20-1eab86af283c	4	gsxWins	saga	24	24	711	559	15	0	1	one	0	0	0	25	4	-1	-1	0	0
