file	turns	winner
7ed61b94-a4f8-439d-b417-a882aea705d8_game_3.replay26	194	0
7ed61b94-a4f8-439d-b417-a882aea705d8_game_4.replay26	199	0
7ed61b94-a4f8-439d-b417-a882aea705d8_game_5.replay26	152	0
80b9b7f1-c618-455f-8a54-d388797d759a_game_1.replay26	102	1
80b9b7f1-c618-455f-8a54-d388797d759a_game_2.replay26	947	0
80b9b7f1-c618-455f-8a54-d388797d759a_game_3.replay26	174	0
80b9b7f1-c618-455f-8a54-d388797d759a_game_4.replay26	1000	1
80b9b7f1-c618-455f-8a54-d388797d759a_game_5.replay26	92	0
810daf94-0279-4051-8ad2-b6f8ae0974e7_game_1.replay26	1000	1
810daf94-0279-4051-8ad2-b6f8ae0974e7_game_2.replay26	92	0
810daf94-0279-4051-8ad2-b6f8ae0974e7_game_3.replay26	110	1
810daf94-0279-4051-8ad2-b6f8ae0974e7_game_4.replay26	162	1
810daf94-0279-4051-8ad2-b6f8ae0974e7_game_5.replay26	92	0
8125f4c8-6351-41d2-9cbf-d9b06b8e027c_game_1.replay26	169	0
8125f4c8-6351-41d2-9cbf-d9b06b8e027c_game_2.replay26	89	0
8125f4c8-6351-41d2-9cbf-d9b06b8e027c_game_3.replay26	205	0
8125f4c8-6351-41d2-9cbf-d9b06b8e027c_game_4.replay26	253	0
8125f4c8-6351-41d2-9cbf-d9b06b8e027c_game_5.replay26	184	1
840578d2-f3f3-45ba-aab1-024efe7e25e1_game_1.replay26	421	1
840578d2-f3f3-45ba-aab1-024efe7e25e1_game_2.replay26	1000	1
840578d2-f3f3-45ba-aab1-024efe7e25e1_game_3.replay26	132	1
840578d2-f3f3-45ba-aab1-024efe7e25e1_game_4.replay26	176	0
840578d2-f3f3-45ba-aab1-024efe7e25e1_game_5.replay26	137	0
895540dc-9745-44f3-92fd-ad671632441b_game_1.replay26	168	0
895540dc-9745-44f3-92fd-ad671632441b_game_2.replay26	225	0
895540dc-9745-44f3-92fd-ad671632441b_game_3.replay26	168	0
895540dc-9745-44f3-92fd-ad671632441b_game_4.replay26	300	0
895540dc-9745-44f3-92fd-ad671632441b_game_5.replay26	1000	1
8b39f183-91bf-410e-a1e4-37208c13e9a9_game_1.replay26	529	0
8b39f183-91bf-410e-a1e4-37208c13e9a9_game_2.replay26	424	0
8b39f183-91bf-410e-a1e4-37208c13e9a9_game_3.replay26	150	0
8b39f183-91bf-410e-a1e4-37208c13e9a9_game_4.replay26	172	0
8b39f183-91bf-410e-a1e4-37208c13e9a9_game_5.replay26	124	0
8bbf0c24-8d56-447f-bd05-c6d22e020d35_game_1.replay26	132	0
8bbf0c24-8d56-447f-bd05-c6d22e020d35_game_2.replay26	92	0
8bbf0c24-8d56-447f-bd05-c6d22e020d35_game_3.replay26	209	0
8bbf0c24-8d56-447f-bd05-c6d22e020d35_game_4.replay26	96	1
8bbf0c24-8d56-447f-bd05-c6d22e020d35_game_5.replay26	117	1
8c043fdd-5b4f-4eef-992b-6b1acad1b182_game_1.replay26	267	0
8c043fdd-5b4f-4eef-992b-6b1acad1b182_game_2.replay26	445	1
8c043fdd-5b4f-4eef-992b-6b1acad1b182_game_3.replay26	133	1
8c043fdd-5b4f-4eef-992b-6b1acad1b182_game_4.replay26	141	1
8c043fdd-5b4f-4eef-992b-6b1acad1b182_game_5.replay26	119	1
8def202d-fa39-4cb3-8ae9-326bf5f51e3b_game_1.replay26	240	1
8def202d-fa39-4cb3-8ae9-326bf5f51e3b_game_2.replay26	84	0
8def202d-fa39-4cb3-8ae9-326bf5f51e3b_game_3.replay26	147	1
8def202d-fa39-4cb3-8ae9-326bf5f51e3b_game_4.replay26	161	1
8def202d-fa39-4cb3-8ae9-326bf5f51e3b_game_5.replay26	133	0
921fac7a-0076-45ae-96bb-f408bdc1f132_game_1.replay26	149	0
921fac7a-0076-45ae-96bb-f408bdc1f132_game_2.replay26	188	0
921fac7a-0076-45ae-96bb-f408bdc1f132_game_3.replay26	1000	0
921fac7a-0076-45ae-96bb-f408bdc1f132_game_4.replay26	293	0
921fac7a-0076-45ae-96bb-f408bdc1f132_game_5.replay26	1000	1
9744aecb-366b-437c-b4ce-5a7818a8d970_game_1.replay26	107	0
9744aecb-366b-437c-b4ce-5a7818a8d970_game_2.replay26	288	1
9744aecb-366b-437c-b4ce-5a7818a8d970_game_3.replay26	239	1
9744aecb-366b-437c-b4ce-5a7818a8d970_game_4.replay26	229	1
9744aecb-366b-437c-b4ce-5a7818a8d970_game_5.replay26	492	1
989b5b0b-a5a7-4aa9-960f-cee982f5199b_game_1.replay26	421	1
989b5b0b-a5a7-4aa9-960f-cee982f5199b_game_2.replay26	1000	1
989b5b0b-a5a7-4aa9-960f-cee982f5199b_game_3.replay26	253	1
989b5b0b-a5a7-4aa9-960f-cee982f5199b_game_4.replay26	116	0
989b5b0b-a5a7-4aa9-960f-cee982f5199b_game_5.replay26	184	1
98a2ae3d-fdae-4e03-816e-6cd1f7aaaa3a_game_1.replay26	151	0
98a2ae3d-fdae-4e03-816e-6cd1f7aaaa3a_game_2.replay26	1000	0
98a2ae3d-fdae-4e03-816e-6cd1f7aaaa3a_game_3.replay26	222	0
98a2ae3d-fdae-4e03-816e-6cd1f7aaaa3a_game_4.replay26	156	1
98a2ae3d-fdae-4e03-816e-6cd1f7aaaa3a_game_5.replay26	406	0
993248ab-af8a-46a0-baf2-617fe76d075a_game_1.replay26	287	1
993248ab-af8a-46a0-baf2-617fe76d075a_game_2.replay26	360	0
993248ab-af8a-46a0-baf2-617fe76d075a_game_3.replay26	322	0
993248ab-af8a-46a0-baf2-617fe76d075a_game_4.replay26	1000	1
993248ab-af8a-46a0-baf2-617fe76d075a_game_5.replay26	412	1
998d38ce-3a46-4905-997a-ea97fbac92cb_game_1.replay26	118	1
998d38ce-3a46-4905-997a-ea97fbac92cb_game_2.replay26	82	0
998d38ce-3a46-4905-997a-ea97fbac92cb_game_3.replay26	171	1
998d38ce-3a46-4905-997a-ea97fbac92cb_game_4.replay26	157	1
998d38ce-3a46-4905-997a-ea97fbac92cb_game_5.replay26	129	0
9efe4183-2f0f-4764-ace3-98864b1ae13c_game_1.replay26	130	0
9efe4183-2f0f-4764-ace3-98864b1ae13c_game_2.replay26	401	1
9efe4183-2f0f-4764-ace3-98864b1ae13c_game_3.replay26	272	1
9efe4183-2f0f-4764-ace3-98864b1ae13c_game_4.replay26	289	1
9efe4183-2f0f-4764-ace3-98864b1ae13c_game_5.replay26	270	1
9f0209d2-e1ac-4593-81bb-9d810ad42ed3_game_1.replay26	256	0
9f0209d2-e1ac-4593-81bb-9d810ad42ed3_game_2.replay26	781	0
9f0209d2-e1ac-4593-81bb-9d810ad42ed3_game_3.replay26	148	0
9f0209d2-e1ac-4593-81bb-9d810ad42ed3_game_4.replay26	319	0
9f0209d2-e1ac-4593-81bb-9d810ad42ed3_game_5.replay26	232	0
a0a90a9e-14bc-43a8-b80c-c903563c33d0_game_1.replay26	133	0
a0a90a9e-14bc-43a8-b80c-c903563c33d0_game_2.replay26	75	0
