group	fwd	band	rnd	cause	n_shooters	n_shots	gun_shots	sent_shots	ff_shots	dmg_round	hp_start	max_hp	age	since_move	sm_bucket	since_act	thrown_ever	d2_enemy	depth_norm	batk_on_tile	healed_ever	n_enemy_bots_adj	rounds_since_first_dmg	n_dmg_rounds	gun_inrange	sent_inrange
US	1	0	37	EXACT	1	1	1	0	0	7	5	40	37	7	2	12	0	17	0.161721508012528	0	0	0	5	5	3	0
US	0	1	89	EXACT	1	1	1	0	0	7	5	40	86	48	4	54	0	578	0.9429903335828894	0	0	0	5	5	1	0
US	0	1	113	EXACT	1	1	1	0	0	7	5	40	5	-1	5	-1	0	648	0.9984603532054124	0	0	1	5	5	1	0
US	0	1	132	EXACT	1	1	1	0	0	7	5	40	128	11	3	1	0	545	0.9156754547663373	0	0	1	5	5	2	0
US	0	2	244	EXACT	1	1	1	0	0	7	5	40	165	5	2	1	0	761	1.082020901262647	0	0	0	5	5	2	0
US	0	0	46	EXACT	1	1	1	0	0	7	5	40	46	12	3	1	0	40	0.5270462766947299	0	0	1	5	5	1	0
US	0	1	115	EXACT	1	1	1	0	0	7	5	40	114	16	3	22	0	89	0.7861650943380503	0	0	1	30	5	1	0
US	0	1	157	EXACT	1	1	1	0	0	7	5	40	154	11	3	1	0	37	0.5068968775248516	0	0	1	5	5	2	0
US	0	0	9	EXACT	1	1	1	0	0	7	5	40	8	1	0	2	0	8	0.5	0	0	1	6	5	1	0
US	0	1	73	EXACT	1	1	1	0	0	7	5	40	73	3	2	1	0	13	0.6373774391990981	0	0	0	51	5	2	0
US	1	1	69	EXACT	1	1	1	0	0	7	5	40	65	3	2	6	0	9	0.375	0	0	0	7	5	1	0
US	1	1	88	EXACT	2	2	2	0	0	14	12	40	86	1	0	8	0	9	0.375	0	0	1	4	3	2	0
US	1	1	109	EXACT	1	1	1	0	0	7	5	40	106	21	3	1	0	5	0.2795084971874737	0	0	0	11	5	3	0
US	1	1	112	EXACT	1	1	1	0	0	7	5	40	112	47	4	1	0	1	0.125	0	0	1	60	4	3	0
US	0	1	170	EXACT	1	1	1	0	0	7	5	40	26	1	0	15	0	25	0.625	0	0	0	16	5	3	0
US	0	2	183	EXACT	1	1	1	0	0	7	5	40	19	1	0	3	0	16	0.5	0	0	1	14	4	3	0
US	1	2	200	EXACT	1	1	1	0	0	7	5	40	9	1	0	2	0	9	0.375	0	0	1	4	4	3	0
US	0	2	245	EXACT	1	1	1	0	0	7	5	40	33	1	0	-1	0	20	0.5590169943749475	0	0	0	32	5	4	0
US	0	2	245	EXACT	2	2	2	0	0	14	12	40	113	1	0	6	0	25	0.625	0	0	0	97	4	4	0
US	0	3	266	EXACT	2	2	2	0	0	14	12	40	26	3	2	1	0	25	0.625	0	0	0	3	3	4	0
US	0	3	308	EXACT	2	2	2	0	0	14	12	40	109	2	1	1	0	25	0.625	0	0	0	3	3	4	0
US	0	3	311	EXACT	2	2	2	0	0	14	12	40	7	3	2	1	0	26	0.6373774391990981	0	0	0	2	2	4	0
US	1	3	331	EXACT	2	2	2	0	0	14	12	40	108	2	1	1	0	8	0.3535533905932738	0	0	1	25	4	5	0
US	0	3	332	EXACT	1	1	1	0	0	7	5	40	331	1	0	5	0	25	0.625	0	0	0	94	4	4	0
US	0	3	348	EXACT	1	1	1	0	0	7	5	40	225	1	0	24	0	20	0.5590169943749475	0	0	1	117	5	4	0
US	0	3	352	EXACT	1	1	1	0	0	7	5	40	16	1	0	4	0	26	0.6373774391990981	0	0	0	6	4	4	0
US	0	3	360	EXACT	2	2	2	0	0	14	12	40	108	1	0	46	0	26	0.6373774391990981	0	0	1	3	3	4	0
