file	ev	rnd	team	kind	x	y	d2_own	d2_enemy	mw	mh
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	26	0	conveyor	3	16	17	493	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	30	0	sentinel	18	8	400	34	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	32	1	gunner	17	8	41	369	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	32	0	harvester	17	17	234	212	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	34	0	conveyor	16	17	205	221	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	36	0	conveyor	15	17	178	232	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	37	0	barrier	20	4	580	2	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	38	0	barrier	21	5	586	4	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	38	0	conveyor	14	17	153	245	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	40	0	conveyor	13	17	130	260	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	DEATH	40	0	sentinel	18	8	400	34	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	42	0	conveyor	12	17	109	277	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	44	0	conveyor	11	17	90	296	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	46	0	conveyor	10	17	73	317	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	48	0	conveyor	10	18	68	346	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	50	0	conveyor	9	18	53	369	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	52	0	conveyor	8	18	40	394	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	52	0	harvester	13	13	170	164	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	54	0	conveyor	7	18	29	421	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	55	0	conveyor	12	13	149	181	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	56	0	barrier	21	2	685	1	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	56	0	conveyor	6	18	20	450	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	57	0	conveyor	11	13	130	200	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	59	0	conveyor	5	18	13	481	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	59	1	gunner	18	16	178	272	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	60	0	conveyor	10	13	113	221	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	61	0	conveyor	4	18	8	514	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	63	0	conveyor	9	13	98	244	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	64	0	barrier	23	3	730	4	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	64	0	barrier	23	4	697	5	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	DEATH	64	0	harvester	17	17	234	212	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	65	0	barrier	22	2	724	2	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	65	0	conveyor	8	13	85	269	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	67	0	conveyor	7	13	74	296	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	68	1	barrier	17	17	212	234	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	68	1	barrier	7	7	212	194	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	69	0	conveyor	6	13	65	325	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	71	0	conveyor	6	14	52	346	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	DEATH	71	1	gunner	17	8	41	369	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	73	0	conveyor	5	14	45	377	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	73	1	gunner	6	12	306	80	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	76	0	sentinel	20	1	685	5	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	78	1	barrier	11	11	164	162	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	DEATH	78	0	harvester	5	13	58	356	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	DEATH	81	0	conveyor	4	14	40	410	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	BUILD	84	0	sentinel	19	2	613	5	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	DEATH	85	0	conveyor	6	13	65	325	25	25
1c839a02-4452-4fe8-aff9-713950f4e11f_game_2.replay26	DEATH	88	0	conveyor	6	14	52	346	25	25
