tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
nomouth_drakkarfjord_s4_A	drakkarfjord	4	A	nomouth	US	nomouth_arm	Titanium collected (tiebreak)	1000	0	290	0
cap6_drakkarfjord_s4_A	drakkarfjord	4	A	cap6	US	cap6_arm	Core destroyed	129	0	340	0
parent_drakkarfjord_s4_B	drakkarfjord	4	B	parent	US	parent_arm	Core destroyed	122	0	350	0
flagoff_drakkarfjord_s4_B	drakkarfjord	4	B	flagoff	US	flagoff_arm	Core destroyed	127	0	480	0
v531fix_drakkarfjord_s4_B	drakkarfjord	4	B	v531fix	US	_v531fix	Core destroyed	265	0	0	0
nomouth_drakkarfjord_s4_B	drakkarfjord	4	B	nomouth	US	nomouth_arm	Core destroyed	132	0	340	0
cap6_drakkarfjord_s4_B	drakkarfjord	4	B	cap6	US	cap6_arm	Core destroyed	123	0	340	0
parent_glacierkeep_s3_A	glacierkeep	3	A	parent	US	parent_arm	Core destroyed	121	0	140	0
flagoff_glacierkeep_s3_A	glacierkeep	3	A	flagoff	US	flagoff_arm	Core destroyed	201	0	140	110
v531fix_glacierkeep_s3_A	glacierkeep	3	A	v531fix	OPP	_v488beltbreak2	Core destroyed	337	0	0	2560
nomouth_glacierkeep_s3_A	glacierkeep	3	A	nomouth	US	nomouth_arm	Core destroyed	161	0	110	0
cap6_glacierkeep_s3_A	glacierkeep	3	A	cap6	OPP	_v488beltbreak2	Core destroyed	689	0	2450	7410
parent_glacierkeep_s3_B	glacierkeep	3	B	parent	US	parent_arm	Core destroyed	353	0	880	0
flagoff_glacierkeep_s3_B	glacierkeep	3	B	flagoff	US	flagoff_arm	Core destroyed	521	0	0	0
v531fix_glacierkeep_s3_B	glacierkeep	3	B	v531fix	US	_v531fix	Core destroyed	281	0	80	0
nomouth_glacierkeep_s3_B	glacierkeep	3	B	nomouth	US	nomouth_arm	Core destroyed	151	0	310	0
cap6_glacierkeep_s3_B	glacierkeep	3	B	cap6	US	cap6_arm	Core destroyed	329	0	10	200
parent_glacierkeep_s4_A	glacierkeep	4	A	parent	US	parent_arm	Core destroyed	124	0	260	0
flagoff_glacierkeep_s4_A	glacierkeep	4	A	flagoff	US	flagoff_arm	Core destroyed	112	0	220	0
v531fix_glacierkeep_s4_A	glacierkeep	4	A	v531fix	US	_v531fix	Titanium collected (tiebreak)	1000	0	10	0
nomouth_glacierkeep_s4_A	glacierkeep	4	A	nomouth	US	nomouth_arm	Core destroyed	164	0	350	220
cap6_glacierkeep_s4_A	glacierkeep	4	A	cap6	US	cap6_arm	Core destroyed	111	0	210	0
parent_glacierkeep_s4_B	glacierkeep	4	B	parent	US	parent_arm	Core destroyed	369	0	380	0
flagoff_glacierkeep_s4_B	glacierkeep	4	B	flagoff	US	flagoff_arm	Core destroyed	446	0	570	0
v531fix_glacierkeep_s4_B	glacierkeep	4	B	v531fix	US	_v531fix	Core destroyed	317	0	0	0
nomouth_glacierkeep_s4_B	glacierkeep	4	B	nomouth	US	nomouth_arm	Core destroyed	943	0	1390	0
