file	match	game	opp	oppver	ourver	oppbef	map	cond	turns	won	our_team
16e6c29f-92d5-42a3-b2a2-ac46cbf9cfb2_game_5.replay26	16e6c29f-92d5-42a3-b2a2-ac46cbf9cfb2	5	Ouroboros	None	80	1598.9481844973004	drumlin	titanium_collected	1000	0	1
1758f1e4-f3d7-4b18-a920-d113a6028ea4_game_1.replay26	1758f1e4-f3d7-4b18-a920-d113a6028ea4	1	the one piece	None	68	1486.3906654846708	meander	core_destroyed	137	1	0
1758f1e4-f3d7-4b18-a920-d113a6028ea4_game_2.replay26	1758f1e4-f3d7-4b18-a920-d113a6028ea4	2	the one piece	None	68	1486.3906654846708	snowflake	core_destroyed	189	0	0
1758f1e4-f3d7-4b18-a920-d113a6028ea4_game_3.replay26	1758f1e4-f3d7-4b18-a920-d113a6028ea4	3	the one piece	None	68	1486.3906654846708	antler	core_destroyed	97	1	0
1758f1e4-f3d7-4b18-a920-d113a6028ea4_game_4.replay26	1758f1e4-f3d7-4b18-a920-d113a6028ea4	4	the one piece	None	68	1486.3906654846708	jackpot	core_destroyed	230	1	0
1758f1e4-f3d7-4b18-a920-d113a6028ea4_game_5.replay26	1758f1e4-f3d7-4b18-a920-d113a6028ea4	5	the one piece	None	68	1486.3906654846708	atoll	core_destroyed	124	1	0
1a842021-fc66-452f-9d37-dc06f3346a9f_game_1.replay26	1a842021-fc66-452f-9d37-dc06f3346a9f	1	Kings College Munich	None	82	1587.0176080973372	archipelago	core_destroyed	566	0	0
1a842021-fc66-452f-9d37-dc06f3346a9f_game_2.replay26	1a842021-fc66-452f-9d37-dc06f3346a9f	2	Kings College Munich	None	82	1587.0176080973372	moonrise	titanium_collected	1000	0	0
1a842021-fc66-452f-9d37-dc06f3346a9f_game_3.replay26	1a842021-fc66-452f-9d37-dc06f3346a9f	3	Kings College Munich	None	82	1587.0176080973372	drumlin	core_destroyed	236	0	0
1a842021-fc66-452f-9d37-dc06f3346a9f_game_4.replay26	1a842021-fc66-452f-9d37-dc06f3346a9f	4	Kings College Munich	None	82	1587.0176080973372	meander	core_destroyed	195	1	0
