file	rnd	band	team	kind	x	y	d2_own	d2_enemy	side	winner
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	19	r0-150	0	gunner	18	15	269	9	FORWARD	0
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	21	r0-150	0	gunner	19	15	296	10	FORWARD	0
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	22	r0-150	0	gunner	17	16	265	5	FORWARD	0
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	148	r0-150	1	gunner	19	20	5	421	HOME	0
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	261	r200-300	1	gunner	17	15	10	244	HOME	0
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	328	r300+	1	gunner	16	14	20	202	HOME	0
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	397	r300+	1	gunner	16	14	20	202	HOME	0
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	454	r300+	1	gunner	16	14	20	202	HOME	0
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	566	r300+	1	gunner	16	14	20	202	HOME	0
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	684	r300+	1	gunner	16	14	20	202	HOME	0
010eb62d-8337-4411-beef-811b8fbf6543_game_4.replay26	770	r300+	1	gunner	16	14	20	202	HOME	0
010eb62d-8337-4411-beef-811b8fbf6543_game_5.replay26	9	r0-150	0	gunner	10	16	101	5	FORWARD	0
010eb62d-8337-4411-beef-811b8fbf6543_game_5.replay26	11	r0-150	0	gunner	11	16	104	8	FORWARD	0
010eb62d-8337-4411-beef-811b8fbf6543_game_5.replay26	11	r0-150	0	gunner	9	17	121	1	FORWARD	0
010eb62d-8337-4411-beef-811b8fbf6543_game_5.replay26	21	r0-150	1	gunner	10	20	5	197	HOME	0
010eb62d-8337-4411-beef-811b8fbf6543_game_5.replay26	52	r0-150	1	gunner	5	16	20	116	HOME	0
010eb62d-8337-4411-beef-811b8fbf6543_game_5.replay26	108	r0-150	1	gunner	7	18	4	148	HOME	0
019771d2-2100-49ef-ba7e-b06be36e7cbf_game_1.replay26	17	r0-150	0	launcher	3	0	9	317	HOME	1
