file	team	kind	band	turns	tled	exec_sum	exec_max	over10k
off_kladde_nordkap_0.replay26	1	gunner	r0_99	100	0	0	0	0
off_kladde_nordkap_0.replay26	1	sentinel	r0_99	127	0	0	0	0
off_kladde_nordkap_0.replay26	0	launcher	r0_99	62	0	0	0	0
off_kladde_nordkap_0.replay26	0	core	r100_249	150	0	0	0	0
off_kladde_nordkap_0.replay26	1	core	r100_249	150	0	0	0	0
off_kladde_nordkap_0.replay26	0	builder_bot	r100_249	600	0	0	0	0
off_kladde_nordkap_0.replay26	1	builder_bot	r100_249	747	0	0	0	0
off_kladde_nordkap_0.replay26	1	gunner	r100_249	372	0	0	0	0
off_kladde_nordkap_0.replay26	1	sentinel	r100_249	569	0	0	0	0
off_kladde_nordkap_0.replay26	0	launcher	r100_249	150	0	0	0	0
off_kladde_nordkap_0.replay26	0	sentinel	r100_249	633	0	0	0	0
off_kladde_nordkap_0.replay26	0	gunner	r100_249	345	0	0	0	0
off_kladde_nordkap_0.replay26	0	core	r250_499	110	0	0	0	0
off_kladde_nordkap_0.replay26	1	core	r250_499	110	0	0	0	0
off_kladde_nordkap_0.replay26	0	builder_bot	r250_499	440	0	0	0	0
off_kladde_nordkap_0.replay26	1	builder_bot	r250_499	440	0	0	0	0
off_kladde_nordkap_0.replay26	1	gunner	r250_499	330	0	0	0	0
off_kladde_nordkap_0.replay26	1	sentinel	r250_499	440	0	0	0	0
off_kladde_nordkap_0.replay26	0	launcher	r250_499	110	0	0	0	0
off_kladde_nordkap_0.replay26	0	sentinel	r250_499	660	0	0	0	0
off_kladde_nordkap_0.replay26	0	gunner	r250_499	550	0	0	0	0
off_kladde_nordkap_1.replay26	0	core	r0_99	100	0	0	0	0
off_kladde_nordkap_1.replay26	1	core	r0_99	100	0	0	0	0
off_kladde_nordkap_1.replay26	0	builder_bot	r0_99	390	0	0	0	0
off_kladde_nordkap_1.replay26	1	builder_bot	r0_99	494	0	0	0	0
off_kladde_nordkap_1.replay26	1	gunner	r0_99	100	0	0	0	0
off_kladde_nordkap_1.replay26	1	sentinel	r0_99	127	0	0	0	0
off_kladde_nordkap_1.replay26	0	launcher	r0_99	62	0	0	0	0
off_kladde_nordkap_1.replay26	0	core	r100_249	150	0	0	0	0
off_kladde_nordkap_1.replay26	1	core	r100_249	150	0	0	0	0
off_kladde_nordkap_1.replay26	0	builder_bot	r100_249	600	0	0	0	0
off_kladde_nordkap_1.replay26	1	builder_bot	r100_249	747	0	0	0	0
off_kladde_nordkap_1.replay26	1	gunner	r100_249	372	0	0	0	0
off_kladde_nordkap_1.replay26	1	sentinel	r100_249	569	0	0	0	0
off_kladde_nordkap_1.replay26	0	launcher	r100_249	150	0	0	0	0
off_kladde_nordkap_1.replay26	0	sentinel	r100_249	633	0	0	0	0
off_kladde_nordkap_1.replay26	0	gunner	r100_249	342	0	0	0	0
off_kladde_nordkap_1.replay26	0	core	r250_499	70	0	0	0	0
off_kladde_nordkap_1.replay26	1	core	r250_499	70	0	0	0	0
off_kladde_nordkap_1.replay26	0	builder_bot	r250_499	280	0	0	0	0
off_kladde_nordkap_1.replay26	1	builder_bot	r250_499	280	0	0	0	0
off_kladde_nordkap_1.replay26	1	gunner	r250_499	209	0	0	0	0
off_kladde_nordkap_1.replay26	1	sentinel	r250_499	264	0	0	0	0
off_kladde_nordkap_1.replay26	0	launcher	r250_499	70	0	0	0	0
off_kladde_nordkap_1.replay26	0	sentinel	r250_499	420	0	0	0	0
off_kladde_nordkap_1.replay26	0	gunner	r250_499	363	0	0	0	0
off_ouroboros_hive_0.replay26	0	core	r0_99	100	0	0	0	0
off_ouroboros_hive_0.replay26	1	core	r0_99	100	0	0	0	0
off_ouroboros_hive_0.replay26	0	builder_bot	r0_99	441	0	0	0	0
off_ouroboros_hive_0.replay26	1	builder_bot	r0_99	516	0	0	0	0
off_ouroboros_hive_0.replay26	0	launcher	r0_99	86	0	0	0	0
off_ouroboros_hive_0.replay26	1	gunner	r0_99	286	0	0	0	0
off_ouroboros_hive_0.replay26	0	sentinel	r0_99	30	0	0	0	0
off_ouroboros_hive_0.replay26	0	core	r100_249	150	0	0	0	0
off_ouroboros_hive_0.replay26	1	core	r100_249	150	0	0	0	0
off_ouroboros_hive_0.replay26	1	builder_bot	r100_249	1012	0	0	0	0
off_ouroboros_hive_0.replay26	0	builder_bot	r100_249	884	0	0	0	0
off_ouroboros_hive_0.replay26	0	launcher	r100_249	150	0	0	0	0
off_ouroboros_hive_0.replay26	1	gunner	r100_249	994	0	0	0	0
off_ouroboros_hive_0.replay26	0	sentinel	r100_249	82	0	0	0	0
off_ouroboros_hive_0.replay26	0	core	r250_499	250	0	0	0	0
off_ouroboros_hive_0.replay26	1	core	r250_499	250	0	0	0	0
off_ouroboros_hive_0.replay26	1	builder_bot	r250_499	1262	0	0	0	0
off_ouroboros_hive_0.replay26	0	builder_bot	r250_499	1734	0	0	0	0
off_ouroboros_hive_0.replay26	0	launcher	r250_499	250	0	0	0	0
off_ouroboros_hive_0.replay26	1	gunner	r250_499	1500	0	0	0	0
off_ouroboros_hive_0.replay26	0	sentinel	r250_499	500	0	0	0	0
off_ouroboros_hive_0.replay26	0	gunner	r250_499	239	0	0	0	0
off_ouroboros_hive_0.replay26	0	core	r500p	500	0	0	0	0
off_ouroboros_hive_0.replay26	1	core	r500p	500	0	0	0	0
off_ouroboros_hive_0.replay26	1	builder_bot	r500p	3295	0	0	0	0
off_ouroboros_hive_0.replay26	0	builder_bot	r500p	3052	0	0	0	0
off_ouroboros_hive_0.replay26	0	launcher	r500p	500	0	0	0	0
off_ouroboros_hive_0.replay26	1	gunner	r500p	3000	0	0	0	0
off_ouroboros_hive_0.replay26	0	sentinel	r500p	1000	0	0	0	0
off_ouroboros_hive_0.replay26	0	gunner	r500p	500	0	0	0	0
off_ouroboros_hive_1.replay26	0	core	r0_99	100	0	0	0	0
off_ouroboros_hive_1.replay26	1	core	r0_99	100	0	0	0	0
off_ouroboros_hive_1.replay26	0	builder_bot	r0_99	442	0	0	0	0
off_ouroboros_hive_1.replay26	1	builder_bot	r0_99	518	0	0	0	0
off_ouroboros_hive_1.replay26	0	launcher	r0_99	86	0	0	0	0
off_ouroboros_hive_1.replay26	1	gunner	r0_99	286	0	0	0	0
off_ouroboros_hive_1.replay26	0	sentinel	r0_99	30	0	0	0	0
off_ouroboros_hive_1.replay26	0	core	r100_249	150	0	0	0	0
off_ouroboros_hive_1.replay26	1	core	r100_249	150	0	0	0	0
off_ouroboros_hive_1.replay26	1	builder_bot	r100_249	975	0	0	0	0
off_ouroboros_hive_1.replay26	0	builder_bot	r100_249	867	0	0	0	0
off_ouroboros_hive_1.replay26	0	launcher	r100_249	150	0	0	0	0
off_ouroboros_hive_1.replay26	1	gunner	r100_249	974	0	0	0	0
off_ouroboros_hive_1.replay26	0	sentinel	r100_249	87	0	0	0	0
off_ouroboros_hive_1.replay26	0	gunner	r100_249	10	0	0	0	0
off_ouroboros_hive_1.replay26	0	core	r250_499	250	0	0	0	0
off_ouroboros_hive_1.replay26	1	core	r250_499	250	0	0	0	0
off_ouroboros_hive_1.replay26	1	builder_bot	r250_499	427	0	0	0	0
off_ouroboros_hive_1.replay26	0	builder_bot	r250_499	1491	0	0	0	0
off_ouroboros_hive_1.replay26	0	launcher	r250_499	250	0	0	0	0
off_ouroboros_hive_1.replay26	1	gunner	r250_499	1500	0	0	0	0
off_ouroboros_hive_1.replay26	0	sentinel	r250_499	942	0	0	0	0
