game	map	tile	osr	notbuildable	b_noadj	b_adj_nofund	b_adj_fund	b_adj_fund_gateopen
v513_log-nordkap-s1-B	nordkap	9,8	30	8	20	0	2	2
v513_log-nordkap-s1-B	nordkap	8,7	14	0	13	1	0	0
v513_log-nordkap-s1-B	nordkap	8,6	12	0	11	0	1	1
v513_log-nordkap-s2-A	nordkap	9,17	40	0	39	0	1	1
v513_log-nordkap-s2-A	nordkap	10,17	307	291	16	0	0	0
v513_log-nordkap-s2-A	nordkap	11,18	38	34	3	0	1	1
v513_log-nordkap-s2-A	nordkap	11,19	273	2	269	0	2	1
v513_log-nordkap-s2-A	nordkap	10,20	1	0	0	0	1	1
v513_log-nordkap-s2-A	nordkap	9,20	51	1	49	0	1	0
v513_log-nordkap-s2-A	nordkap	8,19	48	0	47	0	1	0
v513_log-nordkap-s2-A	nordkap	8,18	43	0	42	0	1	0
v513_log-nordkap-s2-B	nordkap	9,5	1	0	0	0	1	1
v513_log-nordkap-s2-B	nordkap	10,5	8	0	6	0	2	2
v513_log-nordkap-s2-B	nordkap	11,6	4	0	2	0	2	2
v513_log-nordkap-s2-B	nordkap	11,7	18	1	16	0	1	0
v513_log-nordkap-s2-B	nordkap	10,8	19	1	16	0	2	0
v513_log-nordkap-s2-B	nordkap	9,8	22	2	19	0	1	0
v513_log-nordkap-s2-B	nordkap	8,7	15	2	12	0	1	0
v513_log-nordkap-s2-B	nordkap	8,6	13	1	11	0	1	0
v513_log-nordkap-s3-A	nordkap	9,17	340	327	13	0	0	0
v513_log-nordkap-s3-A	nordkap	10,17	178	176	2	0	0	0
v513_log-nordkap-s3-A	nordkap	11,18	343	337	6	0	0	0
v513_log-nordkap-s3-A	nordkap	11,19	3	0	2	0	1	1
v513_log-nordkap-s3-A	nordkap	10,20	337	1	334	0	2	2
v513_log-nordkap-s3-A	nordkap	9,20	1	0	0	0	1	1
v513_log-nordkap-s3-A	nordkap	8,19	10	1	8	0	1	0
v513_log-nordkap-s3-A	nordkap	8,18	15	1	12	2	0	0
v513_log-nordkap-s3-B	nordkap	9,5	230	110	116	0	4	4
v513_log-nordkap-s3-B	nordkap	10,5	177	151	23	0	3	2
v513_log-nordkap-s3-B	nordkap	11,6	2	0	0	0	2	2
v513_log-nordkap-s3-B	nordkap	11,7	51	0	50	0	1	0
v513_log-nordkap-s3-B	nordkap	10,8	48	7	40	0	1	0
v513_log-nordkap-s3-B	nordkap	9,8	25	2	21	0	2	0
v513_log-nordkap-s3-B	nordkap	8,7	22	0	21	0	1	0
v513_log-nordkap-s3-B	nordkap	8,6	95	0	94	0	1	0
