game	map	seat	tile	ring_rounds	D	d_body	E	b	o	empty	ever_denied	dominant	enemy_kinds	enemy_bldg_predates_arrival
v513_log-glacierkeep-s3-B	glacierkeep	B	15,1	991	84	0	0	98	0	809	1	.	-	0
v513_log-glacierkeep-s3-B	glacierkeep	B	16,2	991	989	0	0	0	0	2	1	D	-	0
v513_log-glacierkeep-s3-B	glacierkeep	B	16,3	991	980	0	0	0	0	11	1	D	-	0
v513_log-glacierkeep-s3-B	glacierkeep	B	15,4	991	977	0	0	0	0	14	1	D	-	0
v513_log-glacierkeep-s3-B	glacierkeep	B	14,4	991	973	0	0	0	0	18	1	D	-	0
v513_log-glacierkeep-s3-B	glacierkeep	B	13,3	991	970	0	0	0	0	21	1	D	-	0
v513_log-glacierkeep-s3-B	glacierkeep	B	13,2	991	966	0	0	0	0	25	1	D	-	0
v513_log-midgard-s1-A	midgard	A	26,25	120	0	0	111	0	0	9	0	E	conveyor:111	0
v513_log-midgard-s1-A	midgard	A	27,25	120	0	0	120	0	0	0	0	E	conveyor:120	120
v513_log-midgard-s1-A	midgard	A	28,26	120	0	0	0	2	0	118	0	.	-	0
v513_log-midgard-s1-A	midgard	A	28,27	120	0	0	0	0	0	120	0	.	-	0
v513_log-midgard-s1-A	midgard	A	27,28	120	0	0	0	0	0	120	0	.	-	0
v513_log-midgard-s1-A	midgard	A	26,28	120	25	0	0	0	0	95	1	.	-	0
v513_log-midgard-s1-A	midgard	A	25,27	120	0	0	120	0	0	0	0	E	conveyor:120	120
v513_log-midgard-s1-A	midgard	A	25,26	120	61	0	0	0	0	59	1	D	-	0
v513_log-midgard-s1-B	midgard	B	2,1	12	12	0	0	0	0	0	1	D	-	0
v513_log-midgard-s1-B	midgard	B	3,1	12	12	0	0	0	0	0	1	D	-	0
v513_log-midgard-s1-B	midgard	B	4,2	12	1	0	10	0	0	1	1	E	conveyor:10	10
v513_log-midgard-s1-B	midgard	B	4,3	12	12	0	0	0	0	0	1	D	-	0
v513_log-midgard-s1-B	midgard	B	3,4	12	0	0	12	0	0	0	0	E	conveyor:12	12
v513_log-midgard-s1-B	midgard	B	2,4	12	0	0	12	0	0	0	0	E	conveyor:12	12
v513_log-midgard-s1-B	midgard	B	1,3	12	12	0	0	0	0	0	1	D	-	0
v513_log-midgard-s1-B	midgard	B	1,2	12	12	0	0	0	0	0	1	D	-	0
v513_log-midgard-s2-A	midgard	A	26,25	217	199	0	0	0	0	18	1	D	-	0
v513_log-midgard-s2-A	midgard	A	27,25	217	0	0	217	0	0	0	0	E	conveyor:217	217
v513_log-midgard-s2-A	midgard	A	28,26	217	209	0	0	0	0	8	1	D	-	0
v513_log-midgard-s2-A	midgard	A	28,27	217	214	0	0	0	0	3	1	D	-	0
v513_log-midgard-s2-A	midgard	A	27,28	217	213	2	0	0	0	2	1	D	-	0
v513_log-midgard-s2-A	midgard	A	26,28	217	216	0	0	0	0	1	1	D	-	0
v513_log-midgard-s2-A	midgard	A	25,27	217	179	0	0	0	0	38	1	D	-	0
v513_log-midgard-s2-A	midgard	A	25,26	217	161	0	0	0	0	56	1	D	-	0
v513_log-midgard-s2-B	midgard	B	2,1	38	0	0	0	0	0	38	0	.	-	0
v513_log-midgard-s2-B	midgard	B	3,1	38	0	0	0	0	0	38	0	.	-	0
v513_log-midgard-s2-B	midgard	B	4,2	38	0	0	38	0	0	0	0	E	conveyor:38	38
v513_log-midgard-s2-B	midgard	B	4,3	38	0	0	38	0	0	0	0	E	conveyor:38	38
v513_log-midgard-s2-B	midgard	B	3,4	38	0	0	38	0	0	0	0	E	conveyor:38	38
v513_log-midgard-s2-B	midgard	B	2,4	38	0	0	38	0	0	0	0	E	conveyor:38	38
v513_log-midgard-s2-B	midgard	B	1,3	38	0	0	0	13	0	25	0	.	-	0
v513_log-midgard-s2-B	midgard	B	1,2	38	0	0	0	0	0	38	0	.	-	0
v513_log-midgard-s3-A	midgard	A	26,25	265	0	0	251	1	0	13	0	E	conveyor:251	0
v513_log-midgard-s3-A	midgard	A	27,25	265	0	0	265	0	0	0	0	E	conveyor:265	265
v513_log-midgard-s3-A	midgard	A	28,26	265	0	0	0	1	0	264	0	.	-	0
v513_log-midgard-s3-A	midgard	A	28,27	265	235	0	0	1	0	29	1	D	-	0
v513_log-midgard-s3-A	midgard	A	27,28	265	31	0	0	177	0	57	1	b	-	0
v513_log-midgard-s3-A	midgard	A	26,28	265	17	0	0	83	0	165	1	.	-	0
v513_log-midgard-s3-A	midgard	A	25,27	265	0	0	265	0	0	0	0	E	conveyor:265	265
v513_log-midgard-s3-A	midgard	A	25,26	265	263	0	0	0	0	2	1	D	-	0
v513_log-midgard-s3-B	midgard	B	2,1	23	0	0	0	0	0	23	0	.	-	0
v513_log-midgard-s3-B	midgard	B	3,1	23	23	0	0	0	0	0	1	D	-	0
v513_log-midgard-s3-B	midgard	B	4,2	23	0	0	23	0	0	0	0	E	conveyor:23	23
v513_log-midgard-s3-B	midgard	B	4,3	23	23	0	0	0	0	0	1	D	-	0
v513_log-midgard-s3-B	midgard	B	3,4	23	0	0	23	0	0	0	0	E	conveyor:23	23
v513_log-midgard-s3-B	midgard	B	2,4	23	0	0	23	0	0	0	0	E	conveyor:23	23
v513_log-midgard-s3-B	midgard	B	1,3	23	0	0	0	0	0	23	0	.	-	0
v513_log-midgard-s3-B	midgard	B	1,2	23	0	0	0	0	0	23	0	.	-	0
v513_log-nordkap-s1-A	nordkap	A	9,17	119	84	0	0	0	0	35	1	D	-	0
v513_log-nordkap-s1-A	nordkap	A	10,17	119	25	0	45	0	0	49	1	.	conveyor:45	0
v513_log-nordkap-s1-A	nordkap	A	11,18	119	1	0	115	0	0	3	1	E	conveyor:115	0
v513_log-nordkap-s1-A	nordkap	A	11,19	119	0	23	79	2	0	15	1	E	conveyor:79	0
v513_log-nordkap-s1-A	nordkap	A	10,20	119	38	1	0	0	0	80	1	.	-	0
v513_log-nordkap-s1-A	nordkap	A	9,20	119	16	0	0	53	0	50	1	b	-	0
v513_log-nordkap-s1-A	nordkap	A	8,19	119	36	0	0	0	0	83	1	.	-	0
v513_log-nordkap-s1-A	nordkap	A	8,18	119	102	0	0	0	0	17	1	D	-	0
v513_log-nordkap-s1-B	nordkap	B	9,5	604	598	0	0	0	0	6	1	D	-	0
v513_log-nordkap-s1-B	nordkap	B	10,5	604	603	0	0	0	0	1	1	D	-	0
v513_log-nordkap-s1-B	nordkap	B	11,6	604	602	0	0	0	0	2	1	D	-	0
v513_log-nordkap-s1-B	nordkap	B	11,7	604	540	0	39	2	0	23	1	D	conveyor:39	0
v513_log-nordkap-s1-B	nordkap	B	10,8	604	0	556	41	0	0	7	1	d	conveyor:41	0
v513_log-nordkap-s1-B	nordkap	B	9,8	604	574	0	0	8	0	22	1	D	-	0
v513_log-nordkap-s1-B	nordkap	B	8,7	604	590	0	0	0	0	14	1	D	-	0
v513_log-nordkap-s1-B	nordkap	B	8,6	604	592	0	0	0	0	12	1	D	-	0
v513_log-nordkap-s2-A	nordkap	A	9,17	307	267	0	0	0	0	40	1	D	-	0
v513_log-nordkap-s2-A	nordkap	A	10,17	307	0	0	291	0	0	16	0	E	conveyor:291	0
