r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
375	500	500	67	20	1930	77	24	170	4	2	2	5	2	2	0	0
376	500	500	50	20	1930	76	24	170	4	2	2	5	2	2	0	0
377	500	500	60	16	1940	75	24	170	4	2	2	5	2	2	0	0
378	500	500	49	20	1950	74	24	170	4	2	2	5	2	2	0	0
379	500	500	56	16	1960	83	24	170	4	2	2	5	2	2	0	0
380	500	500	48	20	1960	82	24	170	4	2	2	5	2	2	0	0
381	500	500	35	16	1960	76	24	170	4	2	2	5	2	2	0	0
382	500	500	45	12	1970	75	24	170	4	2	2	5	2	2	0	0
383	500	500	75	8	1990	84	24	170	4	2	2	5	2	2	0	0
384	500	500	59	20	1990	83	24	170	4	2	2	5	2	2	0	0
385	500	500	65	20	2000	82	24	170	4	2	2	5	2	2	0	0
386	500	500	71	20	2010	81	24	170	4	2	2	5	2	2	0	0
387	500	500	87	20	2020	85	24	170	4	2	2	5	2	2	0	0
388	500	500	83	20	2020	84	24	170	4	2	2	5	2	2	0	0
389	500	500	79	20	2020	83	24	170	4	2	2	5	2	2	0	0
390	500	500	85	20	2030	82	24	170	4	2	2	5	2	2	0	0
391	500	500	111	20	2050	91	24	170	4	2	2	5	2	2	0	0
392	500	500	117	20	2060	90	24	170	4	2	2	5	2	2	0	0
393	500	500	123	20	2070	84	24	170	4	2	2	5	2	2	0	0
