tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
v527_drakkarfjord_s4_B	drakkarfjord	4	B	v527	US	_v527collar	Core destroyed	125	0	360	0
v528_drakkarfjord_s4_B	drakkarfjord	4	B	v528	US	_v528eco	Core destroyed	456	0	1010	0
parent_drakkarfjord_s4_B	drakkarfjord	4	B	parent	US	base_arm	Core destroyed	121	0	320	0
flagoff_drakkarfjord_s4_B	drakkarfjord	4	B	flagoff	US	flagoff_arm	Core destroyed	101	0	280	0
v529_glacierkeep_s3_A	glacierkeep	3	A	v529	US	_v529merge	Core destroyed	98	0	180	0
v527_glacierkeep_s3_A	glacierkeep	3	A	v527	US	_v527collar	Core destroyed	157	0	330	120
v528_glacierkeep_s3_A	glacierkeep	3	A	v528	US	_v528eco	Core destroyed	110	0	230	0
parent_glacierkeep_s3_A	glacierkeep	3	A	parent	US	base_arm	Core destroyed	123	0	260	0
flagoff_glacierkeep_s3_A	glacierkeep	3	A	flagoff	US	flagoff_arm	Core destroyed	157	0	330	120
v529_glacierkeep_s3_B	glacierkeep	3	B	v529	OPP	_v488beltbreak2	Core destroyed	261	0	0	0
v527_glacierkeep_s3_B	glacierkeep	3	B	v527	US	_v527collar	Core destroyed	217	0	0	0
v528_glacierkeep_s3_B	glacierkeep	3	B	v528	US	_v528eco	Core destroyed	340	0	0	240
parent_glacierkeep_s3_B	glacierkeep	3	B	parent	OPP	_v488beltbreak2	Titanium stored (tiebreak)	1000	0	0	0
flagoff_glacierkeep_s3_B	glacierkeep	3	B	flagoff	US	flagoff_arm	Titanium collected (tiebreak)	1000	0	200	0
v529_glacierkeep_s4_A	glacierkeep	4	A	v529	OPP	_v488beltbreak2	Core destroyed	309	0	650	2310
v527_glacierkeep_s4_A	glacierkeep	4	A	v527	US	_v527collar	Core destroyed	150	0	620	0
v528_glacierkeep_s4_A	glacierkeep	4	A	v528	US	_v528eco	Core destroyed	119	0	380	0
parent_glacierkeep_s4_A	glacierkeep	4	A	parent	US	base_arm	Core destroyed	149	0	430	200
flagoff_glacierkeep_s4_A	glacierkeep	4	A	flagoff	US	flagoff_arm	Core destroyed	105	0	130	0
v529_glacierkeep_s4_B	glacierkeep	4	B	v529	US	_v529merge	Core destroyed	403	0	760	0
v527_glacierkeep_s4_B	glacierkeep	4	B	v527	US	_v527collar	Core destroyed	265	0	190	0
v528_glacierkeep_s4_B	glacierkeep	4	B	v528	US	_v528eco	Core destroyed	305	0	10	0
parent_glacierkeep_s4_B	glacierkeep	4	B	parent	US	base_arm	Core destroyed	293	0	0	110
flagoff_glacierkeep_s4_B	glacierkeep	4	B	flagoff	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
v529_nordkap_s3_A	nordkap	3	A	v529	US	_v529merge	Core destroyed	200	0	490	50
v527_nordkap_s3_A	nordkap	3	A	v527	OPP	_v488beltbreak2	Core destroyed	304	0	270	3060
v528_nordkap_s3_A	nordkap	3	A	v528	US	_v528eco	Titanium collected (tiebreak)	1000	0	160	80
parent_nordkap_s3_A	nordkap	3	A	parent	US	base_arm	Core destroyed	210	0	1170	230
flagoff_nordkap_s3_A	nordkap	3	A	flagoff	US	flagoff_arm	Core destroyed	792	0	4410	70
v529_nordkap_s3_B	nordkap	3	B	v529	US	_v529merge	Core destroyed	269	0	110	70
v527_nordkap_s3_B	nordkap	3	B	v527	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	70	410
v528_nordkap_s3_B	nordkap	3	B	v528	US	_v528eco	Core destroyed	825	0	110	10
parent_nordkap_s3_B	nordkap	3	B	parent	US	base_arm	Core destroyed	133	0	270	130
flagoff_nordkap_s3_B	nordkap	3	B	flagoff	OPP	_v488beltbreak2	Core destroyed	453	0	50	1120
v529_nordkap_s4_A	nordkap	4	A	v529	US	_v529merge	Core destroyed	274	0	2050	60
v527_nordkap_s4_A	nordkap	4	A	v527	US	_v527collar	Core destroyed	249	0	180	70
v528_nordkap_s4_A	nordkap	4	A	v528	US	_v528eco	Core destroyed	560	0	3370	150
parent_nordkap_s4_A	nordkap	4	A	parent	US	base_arm	Core destroyed	160	0	590	50
flagoff_nordkap_s4_A	nordkap	4	A	flagoff	US	flagoff_arm	Core destroyed	351	0	300	330
