arm	opp	map	seed	seat	md5	turns	cond	winner	tb
V543DOSE	CTRLWAVE	fimbulwinter	13	B	8223d8cd54c32fe2660c9e796766863b	231	core_destroyed	B	0
V543DOSE	CTRLWAVE	fimbulwinter	14	A	07bd130b4ae36df2d62238302c46612e	384	core_destroyed	B	0
V543DOSE	CTRLWAVE	fimbulwinter	14	B	55c5ba960fc5fdb4602debcc3f65394a	500	core_destroyed	A	0
V543DOSE	CTRLWAVE	fimbulwinter	15	A	4bac2522d807c7efaeca401e13994be9	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	fimbulwinter	15	B	0dff6dca667aff0e0dc64e8484e8beb0	559	core_destroyed	A	0
V543DOSE	CTRLWAVE	fimbulwinter	16	A	63c07f83f47431aee6c59cbb4ca82ddb	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	fimbulwinter	16	B	62f099268edcd1e0d790f9862870086d	286	core_destroyed	B	0
V543DOSE	CTRLWAVE	fimbulwinter	17	A	25aca950c46817e6ebed95bdf4529f88	232	core_destroyed	B	0
V543DOSE	CTRLWAVE	fimbulwinter	17	B	30b4df9743ede92add46a77f3b81c8af	461	core_destroyed	A	0
V543DOSE	CTRLWAVE	fimbulwinter	18	A	e65655ca988479567359e16fb941685b	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	fimbulwinter	18	B	df2f9af17407ee7fd146697ae5294438	209	core_destroyed	B	0
V543DOSE	CTRLWAVE	fimbulwinter	19	A	21ed7a6779c15fb1c84f67cdd0615c1c	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	fimbulwinter	19	B	dcd46b3c4e247f83a7f9d1b2e765bfbf	1000	harvesters	A	0
V543DOSE	CTRLWAVE	fimbulwinter	20	A	b596514cc77ddff347bcd49c9fe26ddb	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	fimbulwinter	20	B	a3726e0632b1f4a46395575b3acfc730	1000	titanium_collected	A	0
V543DOSE	CTRLWAVE	glacierkeep	1	A	ccf57c791087b9dcf9381b42a76ce520	1000	harvesters	B	0
V543DOSE	CTRLWAVE	glacierkeep	1	B	f9c2201b08e37d80df735f07084103b6	127	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	2	A	8deaafa9b974574ff47b2d2c9a5b08f9	417	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	2	B	770fdd9a021a7b68dd7cd00a692440c5	501	core_destroyed	A	0
V543DOSE	CTRLWAVE	glacierkeep	3	A	344c0376c5c5f2e4735bdbb2c7ccac10	301	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	3	B	5392be31d44242581f9ae607dc8ee6ac	233	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	4	A	6a581032ed29996751b6cedb38c3a9e6	197	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	4	B	eadeb72e1cca51aadf97c36097c25ab1	163	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	5	A	35abbb6b1162456261b5688a605ef113	163	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	5	B	a0892a351063f0d22a348daf89a7d087	177	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	6	A	da42d297b280b3bb05c9c716eecf2979	196	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	6	B	c3a2a05db7452ca38d06bb05e231d2af	150	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	7	A	5edd2787e7c092505f3649a4bb0207b4	127	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	7	B	cc201ef787ba57d01d2022fc55a20288	531	core_destroyed	A	0
V543DOSE	CTRLWAVE	glacierkeep	8	A	8316a4880c117ba15bf39b5428d2b395	344	core_destroyed	A	0
V543DOSE	CTRLWAVE	glacierkeep	8	B	aeb9fcd4b40d928f1ea224b4065faaea	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	glacierkeep	9	A	cbef50a6bae626c1732b8305c4976a61	163	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	9	B	a3f98239de34a4fab7b96a7fe1c9ccfe	543	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	10	A	79866983c61c64bb417cd92f672e21d5	165	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	10	B	29374c6a710207d0c917dc33cb231fbc	197	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	11	A	ccf57c791087b9dcf9381b42a76ce520	1000	harvesters	B	0
V543DOSE	CTRLWAVE	glacierkeep	11	B	72b5745499854dc080ba9aa95c0f62d0	501	core_destroyed	A	0
V543DOSE	CTRLWAVE	glacierkeep	12	A	6c775102a8a9829e304c94517169bd9f	196	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	12	B	0b4771ada5f92cc60acf335bd596b6e6	233	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	13	A	9162442839a22675537cf81faffcf38b	283	core_destroyed	B	0
V543DOSE	CTRLWAVE	glacierkeep	13	B	ec32f85c751c563f034f125cf93be762	150	core_destroyed	B	0
